sep=\t
Module Resource Usage Distribution Estimates
Generated at: Sep 02, 2026 08:28:06

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	          FFs	      SRLs	       ADDs	         LUTs	    COMB4s	      RAMs	 DSP/MULTs
edge_vision_soc:edge_vision_soc                             	   18922(62)	    10(0)	  3809(19)	    20022(8)	     0(0)	   252(0)	    15(0)	
 +u_common_reset:common_reset(NUM_RST=8,IN_RST_ACTIVE=8'b0,OUT_RST_ACTIVE=8'b0101010)	        4(0)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset(OUT_RST_ACTIVE="LOW")	        1(1)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset(OUT_RST_ACTIVE="LOW")	        1(1)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +genblk1[4].genblk1.genblk1.inst_sysclk_rstn:reset(OUT_RST_ACTIVE="LOW")	        1(1)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
  +genblk1[6].genblk1.genblk1.inst_sysclk_rstn:reset(OUT_RST_ACTIVE="LOW")	        1(1)	     0(0)	      0(0)	        0(0)	     0(0)	     0(0)	     0(0)	
 +u_csi2_rx_cam:csi2_rx_cam                                 	      941(0)	     0(0)	    187(0)	     2116(0)	     0(0)	    15(0)	     0(0)	
  +u_efx_csi2_rx:efx_csi2_rx_f123b49f0f574f64a9a2982368753f7b(NUM_DATA_LANE=2,HS_BYTECLK_MHZ=113,DPHY_CLOCK_MODE="Discontinuous",PIXEL_FIFO_DEPTH=2048,ENABLE_USER_DESKEWCAL=1'b0,ENABLE_VCX=1'b0,PACK_TYPE=15)	      941(0)	     0(0)	    187(0)	     2116(0)	     0(0)	    15(0)	     0(0)	
   +dphy_rx_inst:efx_dphy_rx_f123b49f0f574f64a9a2982368753f7b(HS_BYTECLK_MHZ=113,NUM_DATA_LANE=2,ENABLE_USER_DESKEWCAL=1'b0,DPHY_CLOCK_MODE="Discontinuous")	      226(2)	     0(0)	     33(0)	      454(0)	     0(0)	     0(0)	     0(0)	
    +rx_clane_fsm_inst0:dphy_rx_clane_fsm_f123b49f0f574f64a9a2982368753f7b	      18(18)	     0(0)	      9(9)	      33(33)	     0(0)	     0(0)	     0(0)	
